Prefectures,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gumma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
BothSexes(In),53382,16236,16220,45915,10697,12670,24226,58289,37296,37100,189756,161274,454133,236543,22504,13854,18515,9686,15277,31372,32505,58742,123979,30432,30684,59452,177874,92924,24515,12051,8482,10697,28918,44660,23185,9418,16283,17727,9204,105094,16261,21853,30375,19604,18843,27085,28847
Male(In),31540,9703,9431,26050,6229,7355,14268,34637,21888,22408,103909,88515,240345,129816,12986,8283,10931,5786,8934,17833,18420,34468,72830,18167,17653,31995,95164,49881,12742,6672,4850,6087,16081,26264,13529,5393,9305,10296,5346,58511,8849,12862,17219,11504,10511,15390,15990
Female(In),21842,6533,6789,19865,4468,5315,9958,23652,15408,14692,85847,72759,213788,106727,9518,5571,7584,3900,6343,13539,14085,24274,51149,12265,13031,27457,82710,43043,11773,5379,3632,4610,12837,18396,9656,4025,6978,7431,3858,46583,7412,8991,13156,8100,8332,11695,12857
BothSexes(Out),58620,21892,20843,47367,13606,16523,30805,60152,38796,38041,164917,156489,385848,207937,28354,15716,20976,13094,15863,33300,37021,64896,131387,36829,30672,62087,167082,100321,25834,14174,10238,12586,34539,56069,26903,11975,19067,22506,11039,100707,17437,28292,31999,22712,19954,29837,29337
Male(Out),32847,12173,11295,26699,7343,8984,17441,35122,22315,22282,91370,88903,209080,115429,15727,9030,11932,7422,8978,18492,20482,37352,77301,21705,17736,33486,92251,54409,13617,7599,5529,6853,19001,32009,14679,6475,10792,12479,5896,56081,9437,15261,17757,12890,10899,16036,15950
Female(Out),25773,9719,9548,20668,6263,7539,13364,25030,16481,15759,73547,67586,176768,92508,12627,6686,9044,5672,6885,14808,16539,27544,54086,15124,12936,28601,74831,45912,12217,6575,4709,5733,15538,24060,12224,5500,8275,10027,5143,44626,8000,13031,14242,9822,9055,13801,13387
BothSexes(Net),-5238,-5656,-4623,-1452,-2909,-3853,-6579,-1863,-1500,-941,24839,4785,68285,28606,-5850,-1862,-2461,-3408,-586,-1928,-4516,-6154,-7408,-6397,12,-2635,10792,-7397,-1319,-2123,-1756,-1889,-5621,-11409,-3718,-2557,-2784,-4779,-1835,4387,-1176,-6439,-1624,-3108,-1111,-2752,-490
Male(Net),-1307,-2470,-1864,-649,-1114,-1629,-3173,-485,-427,126,12539,-388,31265,14387,-2741,-747,-1001,-1636,-44,-659,-2062,-2884,-4471,-3538,-83,-1491,2913,-4528,-875,-927,-679,-766,-2920,-5745,-1150,-1082,-1487,-2183,-550,2430,-588,-2399,-538,-1386,-388,-646,40
Female(Net),-3931,-3186,-2759,-803,-1795,-2224,-3406,-1378,-1073,-1067,12300,5173,37020,14219,-3109,-1115,-1460,-1772,-542,-1269,-2454,-3270,-2937,-2859,95,-1144,7879,-2869,-444,-1196,-1077,-1123,-2701,-5664,-2568,-1475,-1297,-2596,-1285,1957,-588,-4040,-1086,-1722,-723,-2106,-530
    